type,canonical,alias,language,category,confidence,notes
brand,Collin resultime,Collin resultime,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Colomer,Colomer,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Comme avant,Comme avant,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=28
brand,Compagnie de Provence,Compagnie de Provence,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,compagnie du bicarbonate,compagnie du bicarbonate,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Compagnie du Midi,Compagnie du Midi,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Comptoir des Lys,Comptoir des Lys,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Comptoir provençal des argiles,Comptoir provençal des argiles,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,comptoirs et compagnies,comptoirs et compagnies,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=10
brand,Control GX,Control GX,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Copine de farme,Copine de farme,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Corine Cobson,Corine Cobson,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Coslys,Coslys,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=94
brand,COSLYS COSMOS ORGANIC,COSLYS COSMOS ORGANIC,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,cosma,cosma,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,cosmia men,cosmia men,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,Cosmo Naturel,Cosmo Naturel,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=38
brand,Cosmo Naturel Laboratoire Gravier,Cosmo Naturel Laboratoire Gravier,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Cosmolive,Cosmolive,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,COSMOS NATURAL,COSMOS NATURAL,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Cosmébio,Cosmébio,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Cosmédiet,Cosmédiet,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Count on US,Count on US,brand,beauty,0.87,open_facts:en.openfoodfacts.org.products.csv.gz; count=4
brand,couvent des minimes,couvent des minimes,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Cozie,Cozie,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
